    PID    PPID COMMAND         COMMAND
   5236    1158 gsd-printer     /usr/libexec/gsd-printer
   5593    1158 xdg-desktop-por /usr/libexec/xdg-desktop-portal-gtk
   5603    1158 gnome-keyring-d /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
   5764    1158 ptyxis          /usr/bin/ptyxis --gapplication-service
   5775    5764 ptyxis-agent    /usr/libexec/ptyxis-agent --socket-fd=3 --rlimit-nofile=1024
   5794    1158 catatonit       catatonit -P
   5819    5775 bash            /usr/bin/bash
   6206    4904 bwrap           bwrap --unshare-all --die-with-parent --chdir / --ro-bind /usr /usr --dev /dev --ro-bind-try /etc/ld.so.cache /etc/ld.so.cache --ro-bind-try /nix/store /nix/store --tmpfs /tmp-home --tmpfs /tmp-run --clearenv --setenv HOME /tmp-home --setenv XDG_RUNTIME_DIR /tmp-run --setenv XDG_RUNTIME_DIR /run/user/1000 --symlink /usr/lib /lib --symlink /usr/lib64 /lib64 --seccomp 52 /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 51
   6207    6206 bwrap           bwrap --unshare-all --die-with-parent --chdir / --ro-bind /usr /usr --dev /dev --ro-bind-try /etc/ld.so.cache /etc/ld.so.cache --ro-bind-try /nix/store /nix/store --tmpfs /tmp-home --tmpfs /tmp-run --clearenv --setenv HOME /tmp-home --setenv XDG_RUNTIME_DIR /tmp-run --setenv XDG_RUNTIME_DIR /run/user/1000 --symlink /usr/lib /lib --symlink /usr/lib64 /lib64 --seccomp 52 /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 51
   6208    6207 glycin-image-rs /usr/libexec/glycin-loaders/2+/glycin-image-rs --dbus-fd 51
   6394    1341 claude          /home/emeric/.local/bin/claude --dangerously-skip-permissions --resume
   6445    5819 tmux: client    tmux -L sshx attach-session -t hx1
   7010    4682 ibus-engine-tb  /usr/bin/python3 /usr/share/ibus-typing-booster/engine/main.py --ibus
  30435       2 kworker/u32:5-b [kworker/u32:5-btrfs-endio]
  38015 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx1
  38051   38015 tmux: client    tmux -L sshx attach-session -t sx1
  38055 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx5
  38105   38055 tmux: client    tmux -L sshx attach-session -t sx5
  38110 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx7
  38163   38110 tmux: client    tmux -L sshx attach-session -t sx7
  38166 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx9
  38222   38166 tmux: client    tmux -L sshx attach-session -t sx9
  38225 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx15
  38286   38225 tmux: client    tmux -L sshx attach-session -t sx15
  38288 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx19
  38350   38288 tmux: client    tmux -L sshx attach-session -t sx19
  38353 4098574 python3         python3 /home/emeric/.local/bin/sshx-da-filter tmux -L sshx attach-session -t sx21
  38419   38353 tmux: client    tmux -L sshx attach-session -t sx21
  47421    1158 bash            bash ./launch.sh --backend codex --quiet
  47422    1158 python3         python3 .autoport/watch.py --backend codex --maintain --notify-supervisor --interval 60 --session 01a07b25-7100-7e93-bde9-ed118bfd1b25
  47440   47421 python          python -u .autoport/orchestrator.py --backend codex --quiet
  47441   47421 tee             tee -a /home/emeric/code/jak-project/.autoport/logs/orchestrator.log /home/emeric/code/jak-project/.autoport/logs/orchestrator-20260908T173610.log
  47659   47440 codex           codex exec --sandbox danger-full-access -c approval_policy="never" -c model_reasoning_effort="high" -c features.hooks=true --model gpt-6-astra -c agents.default_subagent_model="gpt-6-astra" -c agents.enabled=true -c agents.max_concurrent_threads_per_session=3 --dangerously-bypass-hook-trust -c hooks.SessionStart=[{"hooks" = [{"type" = "command", "command" = "python3 /home/emeric/code/jak-project/.autoport/codex/hook.py SessionStart", "timeout" = 30}]}] -c hooks.SubagentStart=[{"hooks" = [{"type" = "command", "command" = "python3 /home/emeric/code/jak-project/.autoport/codex/hook.py SubagentStart", "timeout" = 30}]}] -c hooks.PreToolUse=[{"hooks" = [{"type" = "command", "command" = "python3 /home/emeric/code/jak-project/.autoport/codex/hook.py PreToolUse", "timeout" = 10}]}] -c hooks.SessionEnd=[{"hooks" = [{"type" = "command", "command" = "python3 /home/emeric/code/jak-project/.autoport/codex/hook.py SessionEnd", "timeout" = 3}]}] --json --color never -
  48229   47659 codex-code-mode /home/emeric/.codex/packages/standalone/releases/0.153.4-x86_64-unknown-linux-musl/bin/codex-code-mode-host
  58897       2 kworker/u32:0-b [kworker/u32:0-btrfs-endio]
  71269    1158 python          /usr/bin/python -u tools/texture_remake/chatgpt_images.py run --auto --restart-browser --cdp http://127.0.0.1:9222
  71293    1158 bwrap           /usr/bin/bwrap --args 42 -- chrome --ozone-platform=wayland --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --remote-debugging-port=9222 --no-first-run https://chatgpt.com/images/
  71304    1158 bwrap           /usr/bin/bwrap --args 42 -- /usr/bin/xdg-dbus-proxy --args=44
  71305   71304 xdg-dbus-proxy  /usr/bin/xdg-dbus-proxy --args=44
  71308   71293 bwrap           /usr/bin/bwrap --args 42 -- chrome --ozone-platform=wayland --user-data-dir=/home/emeric/.var/app/com.google.Chrome/config/chrome-auto --remote-debugging-port=9222 --no-first-run https://chatgpt.com/images/
