rel_frame,dpos,drot,x86_lvl,arm_lvl
540,20172.3,484.53549,misty,misty
541,20172.3,484.53549,misty,misty
542,20172.3,484.53549,misty,misty
543,20172.3,484.53549,misty,misty
544,20172.3,484.53549,misty,misty
545,20172.3,484.53549,misty,misty
546,20172.3,484.53549,misty,misty
547,20172.3,484.53549,misty,misty
548,20172.3,484.53549,misty,misty
549,20172.3,484.53549,misty,misty
550,20172.3,484.53549,misty,misty
551,20172.3,484.53549,misty,misty
552,20172.3,484.53549,misty,misty
553,20172.3,484.53549,misty,misty
554,20172.3,484.53549,misty,misty
555,20172.4,484.53549,misty,misty
556,20172.3,484.53549,misty,misty
557,20172.3,484.53549,misty,misty
558,20172.3,484.53549,misty,misty
559,20172.3,484.53549,misty,misty
560,20172.3,484.53549,misty,misty
561,20172.3,484.53549,misty,misty
562,20172.3,484.53549,misty,misty
563,20172.3,484.53549,misty,misty
564,20172.3,484.53549,misty,misty
565,20172.3,484.53549,misty,misty
566,20172.3,484.53549,misty,misty
567,20172.3,484.53549,misty,misty
568,20172.3,484.53549,misty,misty
569,19741.1,484.53549,misty,misty
570,18698.8,484.53549,misty,misty
571,18439.3,470.44565,misty,misty
572,18337.7,419.11957,misty,misty
573,18235.5,367.44298,misty,misty
574,18131.0,314.66029,misty,misty
575,18025.9,261.79421,misty,misty
576,17918.9,208.28624,misty,misty
577,17811.0,156.09437,misty,misty
578,17701.3,107.35675,misty,misty
579,17590.9,73.77674,misty,misty
580,17478.7,79.99864,misty,misty
581,17365.7,121.19926,misty,misty
582,17251.0,175.79123,misty,misty
583,17135.6,234.71217,misty,misty
584,17018.3,296.70606,misty,misty
585,16900.6,359.95257,misty,misty
586,16781.0,425.36442,misty,misty
587,16661.0,491.40412,misty,misty
588,16539.1,559.10715,misty,misty
589,16416.8,627.29709,misty,misty
590,16292.9,697.17922,misty,misty
591,16168.5,767.47279,misty,misty
592,16042.3,839.45455,misty,misty
593,15915.9,911.74023,misty,misty
594,15787.8,985.49079,misty,misty
595,15659.3,1059.56787,misty,misty
596,15529.1,1135.39477,misty,misty
597,15398.7,1211.42393,misty,misty
598,15266.8,1288.80376,misty,misty
599,15134.5,1366.43553,misty,misty
600,15000.8,1445.83212,misty,misty
601,14866.8,1525.33660,misty,misty
602,14731.3,1606.03426,misty,misty
603,14595.7,1686.91677,misty,misty
604,14458.6,1769.61372,misty,misty
605,14321.3,1852.34736,misty,misty
606,14182.6,1936.22682,misty,misty
607,14043.8,2020.16381,misty,misty
608,13903.6,2105.58433,misty,misty
609,13763.3,2190.97801,misty,misty
610,13621.8,2277.49080,misty,misty
611,13480.2,2363.98858,misty,misty
612,13337.4,2451.95148,misty,misty
613,13194.4,2539.84757,misty,misty
614,13050.3,2629.08757,misty,misty
615,12906.2,2718.17507,misty,misty
